frame,kp_0_x,kp_0_y,kp_0_conf,kp_1_x,kp_1_y,kp_1_conf,kp_2_x,kp_2_y,kp_2_conf,kp_3_x,kp_3_y,kp_3_conf,kp_4_x,kp_4_y,kp_4_conf,kp_5_x,kp_5_y,kp_5_conf,kp_6_x,kp_6_y,kp_6_conf,kp_7_x,kp_7_y,kp_7_conf,kp_8_x,kp_8_y,kp_8_conf,kp_9_x,kp_9_y,kp_9_conf,kp_10_x,kp_10_y,kp_10_conf,kp_11_x,kp_11_y,kp_11_conf,kp_12_x,kp_12_y,kp_12_conf,kp_13_x,kp_13_y,kp_13_conf,kp_14_x,kp_14_y,kp_14_conf,kp_15_x,kp_15_y,kp_15_conf,kp_16_x,kp_16_y,kp_16_conf
0.0,670.0409173180776,335.14803167765547,0.9759147,668.2341220913255,320.0822975995827,0.82495666,655.1243286510016,333.1080158286528,0.9779652,661.6711793106604,339.254153809212,0.2156859,608.7311712681577,349.09893513967626,0.9532151,692.83305841745,413.2286965964913,0.9759507,554.5374748649557,418.24577629485077,0.99169743,739.1723547096333,520.0494886741194,0.8764762,493.6002369156817,508.3349293417162,0.9712521,643.2582214996921,530.0462339616881,0.87853074,589.9437982705172,536.7548758730223,0.9613137,661.1409962973553,583.4064709119148,0.604616,577.9040813861634,587.3472027164606,0.68860596,679.10974,548.1433,0.048374683,592.45465,558.29474,0.06937918,659.95715,604.32104,0.005944222,614.6799,618.5846,0.007194191
1.0,672.6029538783354,339.5245390657591,0.9753156,668.2941571671217,326.3743278573015,0.8231287,658.3709228147063,331.19647132904674,0.9771061,660.9464707679325,337.22142995909513,0.21977359,613.9846584152687,350.45774491435725,0.9514231,695.6231768516705,415.9914227162915,0.9761175,561.8183982841141,417.57365177436753,0.9917208,740.0977718417056,516.7158733683684,0.8776008,493.6311493930807,503.51543183884417,0.97126627,645.1147070603728,533.8767247606758,0.87886447,584.454697900207,533.8325393092118,0.9610032,654.7028052564381,576.5324379974904,0.61034113,570.65275774794,582.5876971100475,0.6932934,678.7013,547.75366,0.049810946,591.8411,558.1383,0.071267396,658.8758,603.6906,0.006146759,615.36707,618.888,0.0074374676
2.0,665.7460859163062,335.49664559995756,0.9753986,670.0281009080788,327.68372337355225,0.8235097,655.6061394369754,329.380640440311,0.9772966,662.3298019667313,331.6468939365138,0.21813938,617.604549480171,345.6678779403745,0.95172215,693.4254377398306,414.4538363890312,0.9755422,555.0307205389057,420.96783315092006,0.9915726,743.9539320746298,521.6365086249842,0.8756468,497.1109628193895,507.30225640266735,0.97108823,647.0383838605635,531.539774362489,0.87775075,592.0657910370373,539.9799180613926,0.96102667,664.870464118816,581.4359130661329,0.603567,574.0394748152934,582.3875420885156,0.6880924,679.426,550.6279,0.047284484,592.8967,560.4839,0.06807473,660.58673,607.07697,0.0057325065,614.3408,621.4818,0.0069649816
3.0,672.4273820806316,338.03591242569365,0.9754132,671.5228283886345,324.0305266274787,0.82250893,654.2628071364879,326.48922226654355,0.9776275,658.6979928372763,334.4682439179348,0.21332294,615.7178704926012,340.102116129762,0.9522382,694.0792638044545,418.3863894988224,0.9748025,556.4917954495116,421.852743616333,0.9914117,743.7802305537788,509.4446903960815,0.8732868,493.67366349537474,499.7103649018056,0.9710007,642.1349506872746,527.8626799204918,0.8777149,591.5069457829603,532.3642533226464,0.96158797,663.3517908678838,585.2579206670089,0.59596556,577.0193933549689,584.9892729042976,0.6825114,680.2862,551.528,0.046210587,594.1175,560.3978,0.066886306,662.88934,608.6825,0.0056060553,615.988,621.281,0.0068366528
4.0,675.8997616773266,338.84573457363234,0.9745307,678.2761025792519,324.80524954224046,0.8166722,659.6138788745826,333.44428991095725,0.9769618,661.1772301979358,328.8392061724162,0.20765993,616.1365032969235,345.5140811941017,0.9517972,691.6356597677716,414.88155141620143,0.97412765,557.8074865710885,418.30718089477966,0.9910215,736.4633102666473,512.8071966498973,0.871521,494.86691033020566,510.7512152541316,0.9700354,648.7704233356377,530.3609587596178,0.87597793,589.8129413561804,539.5159058521077,0.96053267,658.4090878836319,575.988241393201,0.5881976,579.9370047056742,589.0240382105314,0.67376727,680.7527,553.51306,0.0445922,594.59796,561.7213,0.06410712,663.1984,611.7885,0.0053887665,616.5866,623.002,0.0065336227
5.0,672.8109063210441,339.5759394664305,0.9737846,671.1225329926647,323.5787036108821,0.812328,657.0532379719293,333.31979804342495,0.9761352,654.729034446804,334.49435674905715,0.20589504,616.7589483276936,347.73046044630445,0.9503971,694.5905092093209,412.6787193234211,0.97343457,555.386184834355,422.73247037378655,0.99080914,745.4130647603048,515.4554544159757,0.86999166,496.4620359906296,506.6770061852181,0.9696418,646.8892337011586,537.1868571619661,0.8764655,592.8585368086726,539.730576096763,0.9606553,666.5832033453413,577.9080204320187,0.57540935,576.2745424737632,588.8802873417122,0.66248447,680.54193,550.08075,0.043103993,595.69745,558.04346,0.06203994,663.67865,608.8274,0.0052636266,618.82275,619.6275,0.0063886642
6.0,673.8436775237957,336.70205499438214,0.97466147,673.8688630687407,321.30827594712105,0.8173969,658.4362109767487,328.42966698405644,0.97680444,659.0496755352044,335.61782519890454,0.20793405,614.4121422643118,342.86416347121815,0.95119417,689.5891632192372,417.27743960830134,0.97429466,555.9547872785255,420.63590639955305,0.9910139,738.4919051330482,517.7688752859362,0.8724424,501.6338477464086,509.1960830374391,0.9696347,645.648191129596,534.2369806580174,0.877908,587.7123950321303,531.9840037589183,0.9605719,663.7297208731555,583.746134281979,0.58362406,578.2740628907867,591.8824735576552,0.6684284,680.294,545.42554,0.04610774,594.3302,554.14526,0.06563434,663.80566,603.6038,0.0057607293,617.1474,615.4088,0.0069360435
7.0,674.4582559306936,336.3181710547439,0.9744743,667.5586591746389,325.8267552963371,0.81545544,655.2442496290536,329.15695982365173,0.9767052,656.984903114936,336.9117028194944,0.20635077,612.8201769294379,344.4715041505264,0.9512941,697.6010695353876,411.6645130807734,0.97435915,562.7246091288755,415.1369994700159,0.9910636,743.0154987222743,512.6559166594004,0.8730582,501.1942245562428,506.6814043280135,0.9700129,645.2668676371778,532.5728804712531,0.87850815,592.8372266892823,531.8032184565577,0.9609674,663.9312917055997,581.8115472144622,0.5885125,574.806808781621,583.9124642140356,0.67314285,680.3452,546.68933,0.04700169,594.41437,554.92804,0.06703222,663.7329,605.64954,0.0058482587,617.40924,616.8953,0.007053435
8.0,671.7640067987725,337.1388135192268,0.9736165,673.9897086823443,327.02227618100073,0.8118435,661.9212633747189,330.6012021966803,0.97575235,659.7555455766108,339.21440165203927,0.20413515,614.3236633503421,344.6398104921018,0.94944197,698.6734508833945,412.09822709736545,0.9735175,559.4746803934156,417.2462926300673,0.99055153,741.4491438466924,514.7576146927397,0.87202334,495.14075198353356,508.22592507556647,0.9686731,644.0722122176487,529.5580630921696,0.8780582,590.0055365273608,535.3013638791034,0.9597831,662.4388656200979,583.3265180498851,0.5794221,579.4575938257576,590.2194582693196,0.66218317,680.52954,547.26984,0.04509425,594.88715,555.8135,0.06358141,664.7749,605.6385,0.005595863,617.5265,617.1183,0.006690562
9.0,669.5698300133248,335.42759798382764,0.9733967,671.6974624545148,328.27117833187015,0.81035244,661.4427393495794,327.94047187127404,0.975605,661.940191328998,339.1983348394435,0.20376113,616.3734326422368,346.64377522449246,0.94927883,693.7749076512443,413.1579797864421,0.9733962,554.4278252663015,420.78685986659553,0.99061114,737.6917048150714,518.0882042640686,0.87177205,490.16542131447795,509.5820308209087,0.9692104,646.2939043275701,531.2319972543771,0.87799346,592.2106091541671,535.5553366902668,0.9603535,665.7502863448115,580.2918591748315,0.58094895,575.0693036580873,586.8498734593153,0.6651193,680.88196,548.7062,0.04509294,595.4983,556.70337,0.06406808,665.3611,607.7044,0.0055568814,618.2668,618.5553,0.006685853
10.0,675.6150475381202,334.9418156580655,0.9714296,672.1343237885005,328.29369381481945,0.7925949,659.0231108998182,327.63766267143956,0.97403395,657.8436888042024,337.0164454495033,0.19061673,615.4985878808169,344.66959427882443,0.9496539,694.0261478684115,414.3207094285224,0.9734806,553.8311599435291,416.02912789769823,0.9908513,747.2391500064208,517.7464895326542,0.8734629,497.83889393454433,506.89699980746116,0.97061646,647.1819226481166,533.6003772929658,0.878242,590.7194398247799,543.0207634249704,0.9615534,670.621764032411,582.6564452484109,0.59424055,576.8584484631191,586.9082927509447,0.6792701,681.69824,547.50934,0.047860354,595.8416,555.2938,0.06841761,664.0864,607.5619,0.0058991313,619.03754,618.0332,0.007125497
11.0,675.8495237659009,337.3564648569826,0.97273374,675.0116110916387,323.6385153058751,0.8010165,657.2460905376479,323.83862049400017,0.97521806,664.0967692149096,330.70903273016785,0.19444236,612.9452842116197,345.487691972033,0.950768,693.2055134178189,415.85466582688525,0.97400415,558.6998357579813,422.57576165234815,0.99105716,737.6064469440495,515.0855353815481,0.87425864,499.99002611716526,508.7719335716155,0.97080815,643.6927933176173,527.8766029993311,0.8787241,584.8490428582966,536.4509987218275,0.96182203,668.2887530955018,580.3980756753671,0.5995341,582.9832199489443,592.6447239409167,0.68405795,683.8175,547.70496,0.048964053,598.4014,556.4248,0.07004583,666.5301,606.43994,0.0060469806,620.58484,617.9962,0.0073123276
12.0,676.3237758133529,337.4881290476523,0.9734531,675.6982539223482,328.0302141645672,0.8071549,657.7027023191018,329.3385343876213,0.9756797,665.1222240683484,331.7551852935403,0.20030788,615.85128783889,348.28962228601114,0.9508524,694.4629409449927,410.58814791666765,0.97453856,552.6130461587717,420.42188068344717,0.99123466,741.8482517827625,512.703337296578,0.8753638,503.11266586419936,501.23646411447464,0.9708735,647.5567361461643,538.2603356833391,0.87942576,588.0501670143219,531.4092752223764,0.96169484,663.7210290737089,579.7342797421356,0.60219973,579.705631796764,584.4447497903524,0.68637246,682.42944,546.41376,0.04974571,595.87555,555.7235,0.070916474,665.1178,604.9188,0.0061722696,618.50665,617.6247,0.007446885
13.0,674.8679489770171,334.7068648354322,0.97344494,674.2125103448691,327.7284274164695,0.80305874,660.6263989809855,329.7205486001999,0.9759899,659.2848194355329,332.3961685828761,0.19195,609.6588800248935,345.2062920650189,0.95256996,694.3176116403532,408.4811981041725,0.9744074,555.4027846408884,417.66168210656883,0.99140996,744.0792039094796,516.2862000473779,0.87562644,498.8899388831256,507.4381183481667,0.9718578,644.2717030232824,527.2056716473538,0.87948275,595.3856903907448,533.4968851743395,0.96287733,666.7931665134978,582.159015064763,0.60891265,582.9171358229407,586.786800272359,0.69461834,684.8599,545.91486,0.05029601,598.2231,556.2875,0.07228851,667.3556,602.3092,0.006198615,617.862,615.72156,0.007514119
14.0,672.5011992594182,333.8674449078711,0.97325397,672.7675682288273,325.91689108326113,0.80133486,658.5210822253102,327.5138264726091,0.9757923,658.7623454043402,333.929583439626,0.19139498,612.0779486282905,344.9051015598881,0.9522818,701.0943891775614,412.51977720122625,0.9741986,554.9025827834628,411.75763278792516,0.99143815,740.648909513777,511.9345049759416,0.8753704,493.6850880665452,510.28155832543655,0.97218966,646.6160246701727,529.8896102841074,0.8796679,592.9269684321846,538.3151357922254,0.96324337,668.6988989637376,578.299014752103,0.6049837,582.996719195951,586.2026689985195,0.69214416,684.1273,544.86176,0.049079448,598.27496,555.42035,0.07089737,666.8591,600.9524,0.006041944,617.4155,614.3775,0.0073479116
15.0,677.26956323771,337.9860669478382,0.97240597,672.1155198603964,327.4179336481643,0.79643166,655.7519598109753,329.2792162235977,0.974901,663.2908749129718,336.07048226141166,0.19056335,606.9280804500571,339.4328019843276,0.9512843,699.2644705629798,411.5530119326553,0.9741051,559.4808672305458,419.333959045754,0.991441,738.64198823965,514.8380172729337,0.87560004,502.18661132787196,501.7117338423798,0.9722985,645.9015900374977,532.6516939864606,0.8795162,599.39070603917,534.5230074439838,0.9632429,668.6732885205129,578.4994048985172,0.60617256,583.249366451714,585.9404583218021,0.69362843,683.6909,543.9659,0.049520046,597.2369,554.6275,0.07152513,665.79724,600.6232,0.006109506,617.3671,614.0687,0.0074339807
16.0,676.6727453676125,341.878924455833,0.97113657,671.2686150411678,325.42812680291854,0.786307,661.8388164338534,331.43425728200464,0.97397196,653.5089952895275,330.6871529599046,0.18264228,611.0140018299123,337.21366570185506,0.95061404,697.6015953377048,415.54804218123024,0.9732299,558.3170543931213,421.4462453820345,0.9911115,744.9904743598595,517.1755852458163,0.8744838,501.59225536090145,503.20921350559695,0.97203326,648.8303464751401,530.5745448511899,0.8800117,596.6789565700253,531.6477758919639,0.96340585,669.8683940875505,581.1858843563036,0.5993786,582.4702791770318,583.6396552497802,0.6868615,685.1224,544.53235,0.048003078,598.75555,554.9918,0.06939882,667.1202,602.4747,0.005885303,618.7662,615.6227,0.007156968
17.0,681.8614768375254,339.8540387921846,0.9721403,672.1900466700649,320.80164038595376,0.7916003,663.3185115238743,330.58756924562414,0.9750742,662.1374831626327,340.0568842729423,0.1830349,621.0048897937165,347.780141590445,0.95197606,697.2546780133223,409.9438538514753,0.97341496,558.9703253556253,423.5813149580588,0.99131864,738.5530014703648,513.6338173306522,0.87446344,498.75170985517195,500.5993421469144,0.9726283,646.7024959382529,524.0049570577008,0.8805531,593.3657104854635,536.5052451801914,0.9642233,667.939320011088,580.0912129325284,0.6023913,585.8880222237665,580.5568181813896,0.691224,686.8395,543.22864,0.04923737,600.64636,553.84406,0.07165983,669.75323,600.89496,0.0060830116,620.5359,614.18823,0.0074380934
18.0,675.1695833491895,339.1066975826104,0.97189057,675.331296897313,320.0288607066339,0.78926325,661.8205009240121,334.76276116988623,0.974818,656.7707921664359,331.41922223236065,0.18127131,614.2243420122753,349.9895192282117,0.95164996,692.3160734232991,409.7030857461238,0.9734031,556.0282663513307,416.6339513458912,0.99140954,745.3949967324546,512.1010810360671,0.8759824,502.4298474530503,500.935083076107,0.9734162,644.1923547355182,523.4261075278994,0.88237417,593.5073820311725,532.6391853948686,0.96524006,663.792636779824,576.6525229702532,0.60846657,586.5104076166033,586.3203905152501,0.69766194,687.2475,541.6051,0.050531328,600.75104,551.6867,0.07390848,670.6181,599.50354,0.0062553585,619.8222,612.0378,0.007683277
